date,orderid,id,order_time,side,symbol,account,order_shares,orderstatus,tif,exec_shares,exec_last_time,explicit_cxl_time,fill_rate,auto_cxl_time,cxl_time,hidden
2013-01-14 00:00:00.000,4606385115,BINGRAM,1900-01-01 14:04:15.010,S,DELL,5AO05053,1100,UR OUT,DAY,0.0,,1900-01-01 14:09:55.544,0.0,,1900-01-01 14:09:55.544,False
2013-01-14 00:00:00.000,4606385116,BINGRAM,1900-01-01 14:04:15.019,S,DELL,5AO05053,100,UR OUT,DAY,0.0,,1900-01-01 14:09:55.511,0.0,,1900-01-01 14:09:55.511,False
2013-01-14 00:00:00.000,4606385117,BINGRAM,1900-01-01 14:04:15.020,S,DELL,5AO05053,1100,UR OUT,DAY,0.0,,1900-01-01 14:09:55.511,0.0,,1900-01-01 14:09:55.511,False
2013-01-14 00:00:00.000,4606385118,BINGRAM,1900-01-01 14:04:15.032,S,DELL,5AO05053,800,UR OUT,DAY,0.0,,1900-01-01 14:09:55.544,0.0,,1900-01-01 14:09:55.544,False
2013-01-14 00:00:00.000,4606397006,eafflerbach,1900-01-01 14:06:24.264,S,DELL,5AO05125,4000,UR OUT,DAY,0.0,,1900-01-01 14:09:25.416,0.0,,1900-01-01 14:09:25.416,False
2013-01-14 00:00:00.000,4606397413,KFERGUSON,1900-01-01 14:07:52.080,S,DELL,5AO05128,3500,UR OUT,DAY,0.0,,1900-01-01 14:09:15.080,0.0,,1900-01-01 14:09:15.080,False
2013-01-14 00:00:00.000,4606397414,KFERGUSON,1900-01-01 14:07:58.869,S,DELL,5AO05128,7000,UR OUT,DAY,0.0,,1900-01-01 14:09:15.080,0.0,,1900-01-01 14:09:15.080,False
2013-01-14 00:00:00.000,4606397482,arizer,1900-01-01 14:08:08.633,S,DELL,5AO05134,3000,UR OUT,DAY,0.0,,1900-01-01 14:08:10.813,0.0,,1900-01-01 14:08:10.813,False
2013-01-14 00:00:00.000,4606386296,DSCHWARZ,1900-01-01 14:08:14.387,S,DELL,5AO05094,5000,UR OUT,DAY,0.0,,1900-01-01 14:09:19.206,0.0,,1900-01-01 14:09:19.206,False
2013-01-14 00:00:00.000,4606397415,KFERGUSON,1900-01-01 14:08:17.788,B,DELL,5AO05128,5000,UR OUT,DAY,0.0,,1900-01-01 14:09:15.080,0.0,,1900-01-01 14:09:15.080,False
2013-01-14 00:00:00.000,4606397007,eafflerbach,1900-01-01 14:08:17.977,S,DELL,5AO05125,4000,UR OUT,DAY,0.0,,1900-01-01 14:09:25.416,0.0,,1900-01-01 14:09:25.416,False
2013-01-14 00:00:00.000,4606397008,eafflerbach,1900-01-01 14:08:25.192,B,DELL,5AO05125,3000,UR OUT,DAY,0.0,,1900-01-01 14:09:25.416,0.0,,1900-01-01 14:09:25.416,False
2013-01-14 00:00:00.000,4606397009,eafflerbach,1900-01-01 14:08:29.559,B,DELL,5AO05125,4000,UR OUT,DAY,0.0,,1900-01-01 14:09:25.416,0.0,,1900-01-01 14:09:25.416,False
2013-01-14 00:00:00.000,4606397010,eafflerbach,1900-01-01 14:08:32.631,B,DELL,5AO05125,4000,UR OUT,DAY,0.0,,1900-01-01 14:09:25.415,0.0,,1900-01-01 14:09:25.415,False
2013-01-14 00:00:00.000,4606397416,KFERGUSON,1900-01-01 14:08:38.088,B,DELL,5AO05128,5000,UR OUT,DAY,0.0,,1900-01-01 14:09:15.079,0.0,,1900-01-01 14:09:15.079,False
2013-01-14 00:00:00.000,4606397417,KFERGUSON,1900-01-01 14:08:48.305,B,DELL,5AO05128,5000,UR OUT,DAY,0.0,,1900-01-01 14:09:15.079,0.0,,1900-01-01 14:09:15.079,False
2013-01-14 00:00:00.000,4606397418,KFERGUSON,1900-01-01 14:09:01.157,S,DELL,5AO05128,4000,UR OUT,DAY,0.0,,1900-01-01 14:09:15.079,0.0,,1900-01-01 14:09:15.079,False
